订单,活动,物料,工序短文本,标准值1,标准值2,标准值3
100000521550,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000521710,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000521861,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000521969,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000522092,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000522094,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000522173,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000522320,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000522346,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000522410,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000522431,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000522583,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000522765,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000522776,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000522985,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000522994,0020,M0106-001078,BJ-DMU50C,0.500,0.450,0.050
100000532048,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000532048,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000532049,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000532049,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000532050,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000532050,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000532051,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000532051,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000532113,0008,M0106-001078,BJ-DMU50C,0.500,0,0.400
100000532146,0040,M0209-300133,BJ-DMU50C,0.500,0.200,0.200
100000532185,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000532185,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000537686,0050,M0106-005516,BJ-DMU50C,0.450,0.475,0.883
100000540257,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000540257,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000540500,5001,M0106-000933,BJ-DMU50C,0.200,0.200,1
100000540578,5001,M0106-000933,BJ-DMU50C,0.200,0.200,1
100000540730,5001,M0106-000933,BJ-DMU50C,0.200,0.200,1
100000540736,5001,M0106-000933,BJ-DMU50C,0.200,0.200,1
100000546403,5003,M0101-6018,BJ-DMU50C,0,0.200,1
100000546406,5003,M0101-6018,BJ-DMU50C,0,0.200,1
100000546407,5003,M0101-6018,BJ-DMU50C,0,0.200,1
100000546463,5003,M0101-6018,BJ-DMU50C,0,0.200,1
100000546491,5003,M0101-6018,BJ-DMU50C,0,0.200,1
100000546520,5003,M0101-6018,BJ-DMU50C,0,0.200,1
100000546526,5003,M0101-6018,BJ-DMU50C,0,0.200,1
100000546527,5003,M0101-6018,BJ-DMU50C,0,0.200,1
100000550033,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000550033,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000550034,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000550034,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000550035,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000550035,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000550476,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000550476,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000566401,5006,M0106-302607,BJ-DMU50C,0,0.200,1
100000573395,0025,M0202-2794,BJ-DMU50C,0,0,0.765
100000597877,0025,M0202-2794,BJ-DMU50C,0,0,0.765
100000597952,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000598028,0025,M0202-2794,BJ-DMU50C,0,0,0.765
100000598067,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000598068,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000598069,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000622335,0415,M0106-011961,BJ-DMU50C,0.050,0.350,2.655
100000629521,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629521,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629522,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629522,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629523,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629523,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629524,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629524,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629525,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629525,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629526,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629526,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629527,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629527,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629549,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629549,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629550,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629550,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629551,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629551,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629552,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629552,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629553,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629553,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629554,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629554,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629555,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629555,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629556,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629556,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629603,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629603,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629614,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629614,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629615,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629615,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629616,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629616,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000629666,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000629666,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000659398,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000659398,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
100000659576,0115,M0101-7234,BJ-DMU50C,0.417,0.208,1.093
100000659576,0120,M0101-7234,BJ-DMU50C,0.417,0.167,0.089
800000008543,0050,M0106-005516,BJ-DMU50C,0.450,0.475,0.883
800000010157,0050,M0106-005516,BJ-DMU50C,0.450,0.475,0.883
800000010615,0010,M0101-7936,BJ-DMU50C,0.450,0.150,0.615
800000015238,5002,M0106-303012,BJ-DMU50C,0,0.500,0
100000339027,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000339033,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000347467,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000347531,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000347592,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000353481,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000365901,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000371582,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000371644,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000388207,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000422284,0420,M0106-301772,BJ-DMU50C-FIU（北京）,0.500,0,1.697
100000450227,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000450228,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000450229,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000450230,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000450231,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000450232,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000450233,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000450234,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000450235,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000456068,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000456183,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000456219,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000485385,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000485386,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000485387,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000485388,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000485389,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000485422,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000485423,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000485424,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000485425,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000485426,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000485427,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000487902,0050,M0106-000459,BJ-DMU50C-FIU（北京）,0,0,0.259
100000487902,0055,M0106-000459,BJ-DMU50C-FIU（北京）,0,0,0.036
100000487926,0050,M0106-000459,BJ-DMU50C-FIU（北京）,0,0,0.259
100000487926,0055,M0106-000459,BJ-DMU50C-FIU（北京）,0,0,0.036
100000490704,0050,M0106-000459,BJ-DMU50C-FIU（北京）,0,0,0.259
100000490704,0055,M0106-000459,BJ-DMU50C-FIU（北京）,0,0,0.036
100000514238,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000514524,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000514579,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000514653,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000514655,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000514727,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000514740,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000515037,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000532113,0006,M0106-001078,BJ-DMU50C-FIU（北京）,0.500,0.100,1.250
100000532113,0007,M0106-001078,BJ-DMU50C-FIU（北京）,0.500,0.100,1.500
100000568200,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000568203,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000568204,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000568207,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000597321,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000597330,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000597331,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000597332,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000597333,0020,M0106-007778,BJ-DMU50C-FIU（北京）,0,0,0.445
100000597624,0050,M0106-000459,BJ-DMU50C-FIU（北京）,0,0,0.259
100000597624,0055,M0106-000459,BJ-DMU50C-FIU（北京）,0,0,0.036
100000659231,0050,M0106-000459,BJ-DMU50C-FIU（北京）,0,0,0.259
100000659231,0055,M0106-000459,BJ-DMU50C-FIU（北京）,0,0,0.036
100000677132,0010,M0201-302629,BJ-DMU50C-FIU（北京）,0.500,0.100,3.200
100000677132,0015,M0201-302629,BJ-DMU50C-FIU（北京）,0.500,0.100,1.200
800000013795,0710,M0106-009629,BJ-DMU50C-FIU（北京）,0.500,0.100,0.900
100000033562,0162,M0106-006144,BJ-HCM1682,0.083,0,0.008
100000033562,0163,M0106-006144,BJ-HCM1682,0.083,0,0.007
100000069174,0227,M0101-6125,BJ-HCM1682,0.242,0.050,0.030
100000069711,5002,M0106-0148,BJ-HCM1682,0.200,0,0.700
100000069863,5035,M0106-001145,BJ-HCM1682,0.500,0,0.200
100000070147,5008,M0106-0147,BJ-HCM1682,0,0.500,1
100000070180,5062,M0101-3941,BJ-HCM1682,0.500,0,0.300
100000070255,5056,M0101-6125,BJ-HCM1682,0.300,0,0.200
100000111885,5031,M0101-4321,BJ-HCM1682,0,0.300,1
100000152304,5015,M0101-0975,BJ-HCM1682,0.200,0,0.300
100000184683,5008,M0106-003423,BJ-HCM1682,0,0.500,1
100000184683,5011,M0106-003423,BJ-HCM1682,0,0.400,1.500
100000204196,0051,M0106-002089,BJ-HCM1682,0,0,0
100000204336,5029,M0101-7280,BJ-HCM1682,0,0.300,1.500
100000254891,5005,M0106-0147,BJ-HCM1682,0,0.200,1
100000254970,5002,M0106-0147,BJ-HCM1682,0,0.200,1
100000256558,5026,M0106-001078,BJ-HCM1682,0.283,0.400,0.009
100000256558,5027,M0106-001078,BJ-HCM1682,0.283,0.217,0.009
100000256986,5006,M0102-2197,BJ-HCM1682,0,0,1.700
100000259700,5006,M0102-2159,BJ-HCM1682,0,0,0
100000259770,5005,M0102-2159,BJ-HCM1682,0.500,0,0.500
100000267784,0035,M0106-001243,BJ-HCM1682,0.083,0.400,2.442
100000267785,0035,M0106-001243,BJ-HCM1682,0.083,0.400,2.442
100000267786,0035,M0106-001243,BJ-HCM1682,0.083,0.400,2.442
100000267787,0035,M0106-001243,BJ-HCM1682,0.083,0.400,2.442
100000267788,0035,M0106-001243,BJ-HCM1682,0.083,0.400,2.442
100000267789,0035,M0106-001243,BJ-HCM1682,0.083,0.400,2.442
100000267847,0035,M0106-001243,BJ-HCM1682,0.083,0.400,2.442
100000267848,0035,M0106-001243,BJ-HCM1682,0.083,0.400,2.442
100000267849,0035,M0106-001243,BJ-HCM1682,0.083,0.400,2.442
100000267850,0035,M0106-001243,BJ-HCM1682,0.083,0.400,2.442
100000267851,0035,M0106-001243,BJ-HCM1682,0.083,0.400,2.442
100000269475,5002,M0101-7232,BJ-HCM1682,0.500,0,0.300
100000287940,0360,M0106-0147,BJ-HCM1682,0.550,0.375,6.420
100000291881,0265,M0102-2640,BJ-HCM1682,0.500,0,4.100
100000291881,0270,M0102-2640,BJ-HCM1682,0.500,0,2.100
100000291882,0250,M0102-2640,BJ-HCM1682,0.325,0.242,2.056
100000291882,0265,M0102-2640,BJ-HCM1682,0.500,0,4.100
100000291882,0270,M0102-2640,BJ-HCM1682,0.500,0,2.100
100000292149,0005,M0102-2640,BJ-HCM1682,0.300,1.158,6.791
100000292149,0010,M0102-2640,BJ-HCM1682,0.317,0.908,6.357
100000292149,0250,M0102-2640,BJ-HCM1682,0.325,0.242,2.058
100000292149,0265,M0102-2640,BJ-HCM1682,0.367,0.108,3.983
100000292149,0270,M0102-2640,BJ-HCM1682,0.300,0.142,2.250
100000292150,0005,M0102-2640,BJ-HCM1682,0.300,1.158,6.791
100000292150,0010,M0102-2640,BJ-HCM1682,0.317,0.908,6.357
100000292150,0250,M0102-2640,BJ-HCM1682,0.325,0.242,2.058
100000292150,0265,M0102-2640,BJ-HCM1682,0.367,0.108,3.983
100000292150,0270,M0102-2640,BJ-HCM1682,0.300,0.142,2.250
100000300481,5010,M0106-001749,BJ-HCM1682,0,0.300,1
100000319157,0250,M0102-2640,BJ-HCM1682,0.325,0.242,2.056
100000322582,0006,M0106-300194,BJ-HCM1682,0.083,0.300,0.830
100000322582,0007,M0106-300194,BJ-HCM1682,0.167,0.433,2.200
100000322582,0005,M0106-300194,BJ-HCM1682,0.083,0.217,0.081
100000322582,0010,M0106-300194,BJ-HCM1682,0.483,0.350,2.552
100000322676,0006,M0106-300194,BJ-HCM1682,0.083,0.300,0.830
100000322676,0007,M0106-300194,BJ-HCM1682,0.167,0.433,2.200
100000322676,0005,M0106-300194,BJ-HCM1682,0.083,0.217,0.081
100000322676,0010,M0106-300194,BJ-HCM1682,0.483,0.350,2.552
100000322972,5020,M0106-003423,BJ-HCM1682,0.500,0,0.500
100000323062,5003,M0106-007779,BJ-HCM1682,0.500,0,0.500
100000323079,5010,M0106-003419,BJ-HCM1682,0.500,0,0.800
100000338553,5006,M0106-300166,BJ-HCM1682,0,0.500,1
100000338588,5001,M0106-007759,BJ-HCM1682,0.500,0,0.500
100000338840,5001,M0106-0147,BJ-HCM1682,0.500,0,0.200
100000338956,0250,M0102-2640,BJ-HCM1682,0.325,0.242,2.056
100000365686,0200,M0101-0972,BJ-HCM1682,0.083,0.350,0.018
100000365686,0205,M0101-0972,BJ-HCM1682,0.083,0.583,0.024
100000365944,5009,M0102-3375,BJ-HCM1682,0.500,0.300,0.500
100000366482,0227,M0101-6125,BJ-HCM1682,0.242,0.050,0.030
100000366912,5001,M0106-006144,BJ-HCM1682,0.500,0.500,1
100000367105,5001,M0101-6125,BJ-HCM1682,0.300,0,0.100
100000387403,0010,M0101-2513,BJ-HCM1682,0.500,1,1.550
100000387403,0020,M0101-2513,BJ-HCM1682,0.500,0.850,2.500
100000387403,0025,M0101-2513,BJ-HCM1682,0.500,0.910,1.800
100000388122,0227,M0101-6125,BJ-HCM1682,0.242,6.050,0.030
100000414471,0250,M0102-2640,BJ-HCM1682,0.325,0.242,2.056
100000414733,5001,M0106-300194,BJ-HCM1682,0.300,0,0.500
100000414737,5005,M0106-300194,BJ-HCM1682,0.500,0,0.300
100000427262,0200,M0101-0972,BJ-HCM1682,0.083,0.350,0.018
100000427262,0205,M0101-0972,BJ-HCM1682,0.083,0.583,0.024
100000430785,0105,M0106-001078,BJ-HCM1682,0.283,0.400,0.009
100000430785,0110,M0106-001078,BJ-HCM1682,0.283,0.217,0.009
100000430879,5024,M0106-001078,BJ-HCM1682,0.280,0.200,0.300
100000430903,5006,M0101-5996,BJ-HCM1682,0.300,0.200,0.200
100000430957,5001,M0106-301024,BJ-HCM1682,0.500,0,0.500
100000437979,0250,M0102-2640,BJ-HCM1682,0.325,0.242,2.058
100000437981,0250,M0102-2640,BJ-HCM1682,0.325,0.242,2.056
100000449505,5002,M0106-300158,BJ-HCM1682,0.200,0.200,0.300
100000449505,5003,M0106-300158,BJ-HCM1682,0.200,0.200,1
100000456139,0228,M0101-6125,BJ-HCM1682,0.242,0.050,0.030
100000473937,0405,M0106-011961,BJ-HCM1682,0.100,0.967,0.255
100000473937,0410,M0106-011961,BJ-HCM1682,0.183,0.217,1.005
100000473941,0405,M0106-011961,BJ-HCM1682,0.100,0.967,0.255
100000473941,0410,M0106-011961,BJ-HCM1682,0.183,0.217,1.005
100000474024,0405,M0106-011961,BJ-HCM1682,0.100,0.967,0.255
100000474024,0410,M0106-011961,BJ-HCM1682,0.183,0.217,1.005
100000474026,0405,M0106-011961,BJ-HCM1682,0.100,0.967,0.255
100000474026,0410,M0106-011961,BJ-HCM1682,0.183,0.217,1.005
100000474028,0405,M0106-011961,BJ-HCM1682,0.100,0.967,0.255
100000474028,0410,M0106-011961,BJ-HCM1682,0.183,0.217,1.005
100000485269,0026,M0101-2513,BJ-HCM1682,0,0,12.500
100000485456,0006,M0106-006179,BJ-HCM1682,0.100,0.600,0.500
100000487882,0405,M0106-011961,BJ-HCM1682,0.100,0.967,0.255
100000487882,0410,M0106-011961,BJ-HCM1682,0.183,0.217,1.005
100000487883,0405,M0106-011961,BJ-HCM1682,0.100,0.967,0.255
100000487883,0410,M0106-011961,BJ-HCM1682,0.183,0.217,1.005
100000487884,0405,M0106-011961,BJ-HCM1682,0.100,0.967,0.255
100000487884,0410,M0106-011961,BJ-HCM1682,0.183,0.217,1.005
100000490860,0010,M0101-2513,BJ-HCM1682,0.500,1,1.550
100000490860,0020,M0101-2513,BJ-HCM1682,0.500,0.850,2.500
100000490860,0025,M0101-2513,BJ-HCM1682,0.500,0.910,1.800
100000490861,0010,M0101-2513,BJ-HCM1682,0.500,1,1.550
100000490861,0020,M0101-2513,BJ-HCM1682,0.500,0.850,2.500
100000490861,0025,M0101-2513,BJ-HCM1682,0.500,0.910,1.800
100000490878,0010,M0101-2513,BJ-HCM1682,0.500,1,1.550
100000490878,0020,M0101-2513,BJ-HCM1682,0.500,0.850,2.500
100000490878,0025,M0101-2513,BJ-HCM1682,0.500,0.910,1.800
100000490879,0010,M0101-2513,BJ-HCM1682,0.500,1,1.550
100000490879,0020,M0101-2513,BJ-HCM1682,0.500,0.850,2.500
100000490879,0025,M0101-2513,BJ-HCM1682,0.500,0.910,1.800
100000490880,0010,M0101-2513,BJ-HCM1682,0.500,1,1.550
100000490880,0020,M0101-2513,BJ-HCM1682,0.500,0.850,2.500
100000490880,0025,M0101-2513,BJ-HCM1682,0.500,0.910,1.800
100000490881,0010,M0101-2513,BJ-HCM1682,0.500,1,1.550
100000490881,0020,M0101-2513,BJ-HCM1682,0.500,0.850,2.500
100000490881,0025,M0101-2513,BJ-HCM1682,0.500,0.910,1.800
100000490882,0010,M0101-2513,BJ-HCM1682,0.500,1,1.550
100000490882,0020,M0101-2513,BJ-HCM1682,0.500,0.850,2.500
100000490882,0025,M0101-2513,BJ-HCM1682,0.500,0.910,1.800
100000502264,0006,M0106-006179,BJ-HCM1682,0.100,0.600,0.500
100000508003,5003,M0201-103130,BJ-HCM1682,0,0,1
100000508004,5003,M0201-103130,BJ-HCM1682,0,0,1
100000514307,0006,M0101-2608,BJ-HCM1682,0.083,0.183,0.436
100000514307,0007,M0101-2608,BJ-HCM1682,0.150,0.250,10.805
100000514307,0008,M0101-2608,BJ-HCM1682,0.150,0.650,1.570
100000514540,0010,M0101-3643,BJ-HCM1682,0.450,0.533,3.200
100000514540,0015,M0101-3643,BJ-HCM1682,0.217,0.550,1.151
100000514540,0005,M0101-3643,BJ-HCM1682,0.150,0.533,1.044
100000514700,5006,M0101-3643,BJ-HCM1682,0.500,0,0.500
100000514700,5009,M0101-3643,BJ-HCM1682,0.217,0.550,1.151
100000518037,0021,M0106-001078,BJ-HCM1682,0.283,0.217,0.009
100000518365,0006,M0106-001894,BJ-HCM1682,0.008,0.450,0.040
100000518365,0010,M0106-001894,BJ-HCM1682,0,0.483,0.980
100000518365,0015,M0106-001894,BJ-HCM1682,0,0.440,0.450
100000518365,0045,M0106-001894,BJ-HCM1682,0.408,0.283,0.860
100000518365,0050,M0106-001894,BJ-HCM1682,0.300,0.300,0.880
100000518525,0021,M0106-001078,BJ-HCM1682,0.283,0.217,0.009
100000518643,0020,M0106-001078,BJ-HCM1682,0.283,0.400,0.009
